churn_category_month,total_active,total_churned,ccr_monthly,ccr_monthly_percentage
2015-01-01,1385605,17392,0.01255191775,1.255191775
2015-02-01,1421752,15931,0.01120518909,1.120518909
2015-03-01,1464889,18962,0.01294432547,1.294432547
2015-04-01,1497745,17057,0.01138845398,1.138845398
2015-05-01,1531143,22978,0.01500708947,1.500708947
2015-06-01,1558700,23130,0.01483928915,1.483928915
2015-07-01,1589427,25343,0.01594473983,1.594473983
2015-08-01,1611873,23778,0.01475178255,1.475178255
2015-09-01,1638337,19735,0.01204575127,1.204575127
2015-10-01,1673102,23350,0.01395611266,1.395611266
2015-11-01,1701981,21686,0.01274162285,1.274162285
2015-12-01,1726918,12190,0.007058818079,0.7058818079
2016-01-01,1781202,20143,0.01130865562,1.130865562
2016-02-01,1825265,53560,0.02934368434,2.934368434
2016-03-01,1848995,35386,0.01913796414,1.913796414
2016-04-01,1981116,82487,0.04163663309,4.163663309
2016-05-01,1978810,171049,0.08644033535,8.644033535
2016-06-01,1847791,36819,0.01992595483,1.992595483
2016-07-01,1852470,24468,0.01320831107,1.320831107
2016-08-01,1873715,24117,0.01287122108,1.287122108
2016-09-01,1904948,64817,0.0340256007,3.40256007
2016-10-01,1896831,33420,0.01761886009,1.761886009
2016-11-01,1922464,29913,0.01555971919,1.555971919
2016-12-01,1945530,28777,0.0147913422,1.47913422
2017-01-01,1989330,31669,0.01591943016,1.591943016
2017-02-01,2018798,30410,0.01506341893,1.506341893
2017-03-01,2054859,32827,0.01597530536,1.597530536
2017-04-01,2083058,28398,0.01363284172,1.363284172
2017-05-01,2123462,27653,0.01302260177,1.302260177
2017-06-01,2165212,24518,0.01132360249,1.132360249
2017-07-01,2208253,25571,0.011579742,1.1579742
2017-08-01,2246367,26380,0.01174340613,1.174340613
2017-09-01,2279927,28783,0.01262452701,1.262452701
2017-10-01,2314157,31004,0.01339753526,1.339753526
2017-11-01,2345517,32670,0.01392869888,1.392869888
2017-12-01,2367456,27062,0.01143083546,1.143083546
2018-01-01,2416001,32406,0.01341307392,1.341307392
2018-02-01,2452057,26927,0.01098139236,1.098139236
2018-03-01,2496996,32425,0.0129856035,1.29856035
2018-04-01,2530787,39843,0.01574332411,1.574332411
2018-05-01,2557691,40608,0.01587682015,1.587682015
2018-06-01,2580313,28561,0.01106881219,1.106881219
2018-07-01,2616388,31328,0.01197375924,1.197375924
2018-08-01,2651227,33233,0.0125349508,1.25349508
2018-09-01,2683795,34942,0.01301962333,1.301962333
2018-10-01,2716745,35754,0.01316060212,1.316060212
2018-11-01,2750002,33245,0.01208908212,1.208908212
2018-12-01,2775236,31895,0.0114927163,1.14927163